"","zone","state","N.child","prop.lowstart","prop.highby30","p.upmover","Urban","Black","Seg_racial","Seg_income","Seg_poverty","Seg_affluence","Commute","Income","Gini","Share01","Gini_99","Middle_class","Local_tax_rate","Local_gov_spending","Progressivity","EITC","School_spending","Student_teacher_ratio","Test_scores","HS_dropout","Colleges","Tuition","Graduation","Labor_force_participation","Manufacturing","Chinese_imports","Teenage_labor","Migration_in","Migration_out","Foreign_born","Social_capital","Religious","Violent_crime","Single_mothers","Divorced","Married","Longitude","Latitude"
"4302","Searcy","AR",7255,0.312,0.176,0.089,0,0.088,0.135,0.027,0.025,0.029,0.421,28365,0.434,8.856,0.346,0.514,0.012,1252,1,0,4.533,17.1,3.54,0.007,0.021,5684,0.059,0.595,0.183,1.798,0.004,0.019,0.02,0.012,-0.742,0.61,0.001,0.197,0.105,0.615,-91.454719543457,35.3877983093262
"4402","Richmond","KY",7370,0.303,0.141,0.059,0,0.027,0.105,0.051,0.047,0.058,0.35,25664,0.423,7.78,0.345,0.509,0.013,1205,0.2,0,5.932,15.9,-0.157,-0.003,0.017,1729,0.067,0.594,0.205,2.076,0.003,0.02,0.016,0.01,-1.328,0.413,0.002,0.205,0.107,0.555,-84.1347045898438,37.589282989502
"4501","West Liberty","KY",3305,0.455,0.127,0.068,0,0.02,0.157,0.011,0.009,0.01,0.295,20802,0.508,16.386,0.344,0.456,0.009,1272,0.2,0,6.784,14.8,-5.552,0.03,0.02,3750,-0.176,0.423,0.138,0.388,0.002,0.004,0.007,0.005,-1.289,0.214,0,0.199,0.112,0.588,-83.3554000854492,37.6686782836914
"4601","Campbellsville","KY",5655,0.339,0.143,0.071,0,0.024,0.067,0.01,0.007,0.01,0.404,26923,0.394,8.527,0.309,0.524,0.009,1624,0.2,0,5.746,15.5,0.819,0.006,0.024,9292,0.049,0.571,0.232,1.489,0.004,0.006,0.006,0.01,-0.499,0.637,0.001,0.191,0.11,0.605,-85.249870300293,37.2286758422852
"4602","Somerset","KY",8639,0.371,0.128,0.063,0,0.008,0.047,0.021,0.016,0.024,0.372,24892,0.466,11.635,0.35,0.48,0.012,1271,0.2,0,5.814,16.6,-2.443,0.01,0.008,1150,-0.028,0.529,0.248,1.471,0.003,0.006,0.006,0.008,-1.14,0.538,0.001,0.191,0.107,0.612,-84.5739974975586,36.7019195556641
"4701","Greenwood","MS",7786,0.442,0.108,0.033,0,0.527,0.223,0.045,0.043,0.047,0.435,25756,0.539,13.772,0.402,0.378,0.016,2172,0,0,4.481,18.5,-17.145,0.042,0.012,2746,0.03,0.547,0.228,1.389,0.003,0.008,0.013,0.009,-0.764,0.474,0.002,0.381,0.087,0.468,-90.0163497924805,33.5430183410645
"4800","Greenville","MS",15441,0.501,0.075,0.022,0,0.658,0.218,0.046,0.042,0.053,0.498,23169,0.525,11.211,0.413,0.314,0.017,1800,0,0,4.344,18.7,-20.082,0.011,0.014,1419,-0.014,0.534,0.188,0.853,0.002,0.007,0.014,0.007,-1.051,0.373,0.002,0.434,0.083,0.402,-90.9878692626953,33.2874450683594
"4901","Jackson","TN",15411,0.26,0.139,0.047,1,0.274,0.223,0.065,0.062,0.066,0.366,31754,0.474,12.857,0.345,0.526,0.02,3444,0,0,4.965,NA,-8.155,-0.009,0.025,6396,-0.02,0.614,0.259,2.155,0.004,0.016,0.015,0.017,-0.251,0.57,0.003,0.269,0.113,0.54,-88.8984222412109,35.6781158447266
"4902","Dyersburg","TN",7312,0.292,0.126,0.043,0,0.288,0.16,0.018,0.015,0.022,0.442,26597,0.417,9.444,0.323,0.508,0.017,2162,0,0,4.951,NA,-3.103,-0.005,0.011,1294,-0.261,0.566,0.316,1.984,0.003,0.015,0.017,0.011,-1.445,0.504,0.004,0.3,0.121,0.533,-89.5839614868164,35.9390640258789
"4903","Lexington","TN",3220,0.232,0.153,0.082,0,0.057,0.078,0.011,0.012,0.012,0.341,31853,0.317,6.22,0.255,0.616,0.013,1722,0,0,3.92,NA,1.607,-0.022,NA,NA,NA,0.596,0.32,5.472,0.004,0.013,0.011,0.009,-1.398,0.507,0.002,0.194,0.121,0.611,-88.0600204467773,35.6141738891602
"500","Greensboro","NC",69646,0.209,0.157,0.047,1,0.218,0.22,0.068,0.058,0.077,0.305,36582,0.524,18.228,0.341,0.51,0.017,1932,1,0,5.008,16.7,-3.716,0.016,0.014,4528,-0.017,0.666,0.261,2.051,0.004,0.017,0.015,0.05,-0.513,0.434,0.003,0.237,0.096,0.56,-79.7673873901367,36.311107635498
"5000","Tupelo","MS",17558,0.286,0.134,0.044,0,0.241,0.123,0.022,0.019,0.023,0.341,30736,0.457,11.467,0.342,0.517,0.013,1984,0,0,4.352,17.9,-8.12,-0.008,0.01,950,-0.129,0.627,0.364,4.838,0.003,0.011,0.011,0.011,-0.694,0.644,0.001,0.246,0.108,0.569,-88.6931762695312,34.0106201171875
"5100","Corinth","MS",8848,0.284,0.153,0.066,0,0.079,0.128,0.013,0.016,0.01,0.372,28904,0.426,12.3,0.303,0.546,0.013,2222,0,0,4.329,16.7,-1.45,-0.016,0.008,1080,-0.159,0.574,0.336,7.028,0.004,0.011,0.009,0.008,-0.766,0.618,0.001,0.195,0.113,0.599,-88.3704833984375,35.0568542480469
"5202","Memphis","TN",96037,0.267,0.132,0.028,1,0.432,0.36,0.137,0.129,0.148,0.224,37116,0.586,17.031,0.415,0.449,0.021,2868,0,0,4.768,19.7,-15.57,0.02,0.013,4191,-0.132,0.654,0.116,1.263,0.004,0.018,0.017,0.033,-0.71,0.425,0.002,0.322,0.106,0.492,-90.0650634765625,35.0354385375977
"5300","West Memphis","AR",12899,0.441,0.098,0.032,1,0.471,0.199,0.045,0.046,0.052,0.416,25942,0.458,8.066,0.377,0.386,0.015,1540,1,0,4.632,17.2,-14.367,0.024,0.022,1037,-0.183,0.549,0.158,4.292,0.003,0.011,0.017,0.009,-1.195,0.476,0.002,0.368,0.097,0.513,-90.5962371826172,34.7605514526367
"5401","Bowling Green","KY",11821,0.23,0.168,0.064,1,0.072,0.123,0.05,0.044,0.056,0.375,31026,0.454,12.093,0.333,0.551,0.013,1675,0.2,0,5.925,17.3,3.097,-0.008,0.012,2232,0.04,0.648,0.245,0.749,0.004,0.015,0.013,0.027,-0.747,0.528,0.001,0.203,0.105,0.574,-86.3613433837891,36.9742088317871
"5402","Glasgow","KY",6335,0.319,0.14,0.061,0,0.037,0.071,0.02,0.014,0.022,0.376,27831,0.439,12.307,0.316,0.522,0.012,1390,0.2,0,5.62,15.4,-1.207,-0.006,NA,NA,NA,0.586,0.282,1.101,0.004,0.009,0.009,0.008,-0.792,0.497,0.001,0.185,0.108,0.614,-85.7584686279297,36.8960647583008
"5500","Columbia","TN",13139,0.194,0.15,0.057,1,0.104,0.113,0.041,0.039,0.047,0.304,32507,0.381,8.556,0.296,0.543,0.018,2532,0,0,4.217,NA,-4.083,-0.01,0.013,2663,-0.106,0.637,0.305,2.56,0.004,0.022,0.021,0.015,-1.248,0.472,0.002,0.199,0.113,0.591,-87.1828079223633,35.5133590698242
"5600","Nashville","TN",88518,0.179,0.179,0.057,1,0.153,0.249,0.103,0.093,0.112,0.24,39833,0.517,18.995,0.327,0.506,0.023,2577,0,0,5.088,NA,-6.695,0.014,0.018,7971,-0.001,0.689,0.14,1.499,0.004,0.022,0.016,0.047,-0.397,0.476,0.002,0.223,0.115,0.549,-86.4776077270508,36.0064163208008
"5700","Tullahoma","TN",9543,0.23,0.167,0.061,0,0.055,0.093,0.017,0.018,0.015,0.37,32903,0.423,10.603,0.317,0.553,0.016,1834,0,0,4.669,NA,-2.54,-0.012,0.015,8383,-0.032,0.627,0.277,2.509,0.004,0.017,0.015,0.032,-0.715,0.523,0.001,0.196,0.103,0.608,-86.3036117553711,35.4622421264648
"5900","Clarksville","TN",17974,0.214,0.138,0.06,1,0.179,0.133,0.056,0.054,0.052,0.319,28962,0.383,9.751,0.285,0.605,0.016,1703,0,0,5.298,17.3,-0.633,-0.004,0.024,2147,-0.044,0.673,0.193,2.668,0.003,0.046,0.043,0.033,-1.828,0.48,0.002,0.203,0.101,0.608,-87.5625991821289,36.6690673828125
"6000","Huntsville","AL",39148,0.206,0.19,0.057,1,0.174,0.225,0.089,0.081,0.098,0.286,37730,0.443,10.571,0.337,0.482,0.015,2947,0,0,5.14,16.5,-7.679,-0.006,0.012,2761,-0.147,0.647,0.228,2.479,0.004,0.018,0.014,0.03,-1.029,0.559,0.002,0.204,0.108,0.595,-86.7002639770508,34.855583190918
"602","Galax","VA",3790,0.245,0.159,0.08,0,0.029,0.131,0.005,0.004,0.006,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208,0,0,5.377,12.3,4.9,NA,NA,NA,NA,0.594,0.321,4.303,0.004,0.006,0.006,0.023,-0.801,0.43,0.001,0.167,0.089,0.622,-81.039924621582,36.5919990539551
"6200","Florence","AL",17174,0.253,0.186,0.071,1,0.09,0.196,0.037,0.039,0.037,0.33,31581,0.448,11.773,0.33,0.528,0.013,2708,0,0,4.862,16.6,-3.315,-0.007,0.013,1919,-0.105,0.575,0.256,1.348,0.003,0.008,0.009,0.015,-0.834,0.609,0.001,0.196,0.102,0.611,-87.5710220336914,35.096565246582
"6401","Chattanooga","TN",35934,0.23,0.157,0.057,1,0.134,0.335,0.075,0.073,0.078,0.256,35728,0.502,14.485,0.357,0.508,0.017,2821,0,0,4.825,18.1,-7.888,0.026,0.014,4482,-0.055,0.636,0.199,1.114,0.004,0.015,0.014,0.023,-0.409,0.518,0.003,0.228,0.117,0.572,-85.337043762207,35.1550254821777
"6700","Tampa","FL",135603,0.265,0.145,0.06,1,0.099,0.232,0.08,0.063,0.097,0.264,42195,0.534,15.27,0.381,0.507,0.022,2380,0,0,6.228,18.3,-2.514,-0.001,0.009,6791,0.026,0.592,0.083,0.622,0.004,0.041,0.025,0.098,-1.04,0.379,NA,0.252,0.125,0.537,-82.4193954467773,28.1531715393066
"6800","Lakeland","FL",41237,0.305,0.129,0.052,1,0.125,0.171,0.053,0.05,0.055,0.289,36102,0.477,12.185,0.355,0.513,0.016,2265,0,0,5.569,18.4,-7.088,0.025,0.015,6001,0.058,0.556,0.086,0.383,0.003,0.048,0.025,0.077,-1.73,0.422,NA,0.24,0.107,0.58,-81.4550399780273,27.7498950958252
"7200","Cape Coral","FL",32850,0.245,0.149,0.06,1,0.056,0.263,0.078,0.059,0.095,0.273,55875,0.574,17.022,0.404,0.494,0.025,3061,0,0,6.896,18.6,-4.293,0.023,0.007,2299,-0.055,0.531,0.044,0.169,0.005,0.067,0.026,0.125,-1.24,0.377,NA,0.215,0.108,0.61,-81.7269973754883,26.4002437591553
"7300","Palm Bay","FL",38361,0.224,0.155,0.066,1,0.082,0.144,0.071,0.06,0.079,0.3,45264,0.469,14.294,0.326,0.544,0.02,2412,0,0,5.628,18,9.036,-0.015,0.007,6751,0.101,0.561,0.123,1.067,0.004,0.047,0.026,0.068,-0.799,0.414,NA,0.227,0.119,0.583,-80.7524337768555,28.3434429168701
"7700","Lake City","FL",11473,0.35,0.118,0.05,0,0.206,0.118,0.014,0.017,0.009,0.339,25561,0.415,8.857,0.326,0.499,0.02,2370,0,0,5.592,18.8,-5.551,-0.009,0.013,1180,0.098,0.524,0.117,0.201,0.003,0.022,0.013,0.029,-1.774,0.411,NA,0.246,0.122,0.55,-83.1948776245117,30.1301002502441
"7800","Ocala","FL",22533,0.334,0.124,0.056,1,0.085,0.158,0.026,0.019,0.031,0.273,38731,0.487,12.616,0.361,0.492,0.017,1969,0,0,5.344,17.6,1.125,-0.003,0.005,2370,0.025,0.469,0.091,0.535,0.004,0.056,0.024,0.051,-1.831,0.35,NA,0.246,0.113,0.611,-82.1488647460938,29.1660633087158
"7900","Gainesville","FL",21335,0.295,0.138,0.05,1,0.175,0.137,0.101,0.088,0.114,0.321,28321,0.51,12.516,0.385,0.486,0.02,2672,0,0,5.897,18.2,-1.607,0.016,0.012,1796,0.416,0.585,0.049,0.444,0.003,0.033,0.032,0.057,-1.494,0.354,NA,0.276,0.104,0.461,-82.6522445678711,29.6797657012939
"800","Gastonia","NC",29902,0.217,0.146,0.052,1,0.138,0.134,0.038,0.034,0.041,0.288,33582,0.415,10.08,0.314,0.544,0.015,1996,1,0,5.251,16.4,2.412,0.03,0.015,10244,-0.102,0.648,0.311,1.466,0.003,0.017,0.015,0.029,-0.659,0.601,0.004,0.214,0.094,0.596,-81.6222229003906,35.4115333557129
"8000","Sumter","SC",18201,0.326,0.109,0.035,1,0.44,0.134,0.052,0.051,0.05,0.33,29459,0.444,8.648,0.358,0.479,0.016,1518,0,0,5.429,17.2,-8.166,-0.009,0.014,3194,-0.204,0.607,0.235,1.195,0.003,0.018,0.021,0.019,-1.854,0.416,0.003,0.286,0.089,0.525,-80.3857803344727,33.9842262268066
"8201","Barnwell","SC",6604,0.411,0.09,0.035,0,0.551,0.084,0.011,0.013,0.012,0.349,25544,0.438,8.527,0.352,0.416,0.019,1583,0,0,5.594,15,-17.549,-0.017,0.041,1372,-0.136,0.526,0.248,1.283,0.003,0.01,0.015,0.009,-1.679,0.443,0.003,0.353,0.076,0.494,-81.2760009765625,32.9641990661621
"8300","Greenville","SC",63410,0.216,0.154,0.047,1,0.181,0.176,0.066,0.058,0.076,0.308,35225,0.48,12.338,0.356,0.508,0.014,1580,0,0,5.145,17,-1.21,-0.01,0.015,5888,0.061,0.641,0.259,1.355,0.004,0.015,0.012,0.033,-1.108,0.558,0.003,0.229,0.092,0.567,-82.5311050415039,34.444034576416
"8402","Washington","GA",2984,0.398,0.106,0.031,1,0.424,0.021,0.019,0.003,0.015,0.341,35155,0.491,11.242,0.379,0.404,0.021,2174,0,0,5.394,16.5,-5.032,0.037,0.028,16250,NA,0.551,0.261,0.662,0.003,0.013,0.016,0.016,-0.773,0.436,0.002,0.316,0.095,0.517,-82.8233413696289,33.6700859069824
"8502","Cordele","GA",4125,0.455,0.1,0.033,0,0.434,0.047,0.01,0.01,0.006,0.43,26103,0.496,9.602,0.4,0.391,0.024,2474,0,0,5.945,15.5,-4.966,0.068,NA,NA,NA,0.54,0.181,0.55,0.003,0.009,0.011,0.017,-1.604,0.483,0.004,0.369,0.098,0.517,-83.5846252441406,32.033317565918
"8503","Valdosta","GA",19167,0.354,0.114,0.032,1,0.292,0.169,0.05,0.046,0.054,0.422,27878,0.511,11.761,0.394,0.449,0.02,2161,0,0,5.177,16.5,-3.559,0.041,0.021,1501,0.002,0.622,0.168,0.541,0.004,0.013,0.014,0.037,-1.931,0.481,0.002,0.273,0.099,0.534,-83.3960266113281,31.2604084014893
"8601","Waycross","GA",9358,0.355,0.119,0.045,0,0.232,0.113,0.029,0.025,0.032,0.41,26639,0.461,8.311,0.378,0.452,0.02,2426,0,0,5.889,16,-2.098,0.047,0.027,1237,-0.152,0.574,0.216,1.762,0.003,0.009,0.008,0.037,-2.103,0.502,0.002,0.24,0.104,0.584,-82.57080078125,31.2826557159424
"8702","Statesboro","GA",8272,0.392,0.117,0.039,0,0.325,0.055,0.043,0.051,0.036,0.398,26439,0.492,9.041,0.402,0.419,0.019,2080,0,0,5.27,16.2,-0.486,0.03,0.036,1728,0.056,0.586,0.182,1.489,0.003,0.016,0.014,0.029,-2.244,0.404,0.002,0.279,0.086,0.473,-81.9179534912109,32.6167068481445
"8800","Savannah","GA",31837,0.281,0.132,0.041,1,0.325,0.243,0.099,0.095,0.103,0.297,39851,0.553,14.606,0.407,0.471,0.028,2224,0,0,5.81,16.6,-9.082,0.038,0.016,6982,-0.021,0.628,0.103,0.187,0.004,0.033,0.029,0.044,-1.703,0.407,0.002,0.269,0.101,0.542,-81.0676116943359,32.2408256530762
"8900","Macon","GA",31614,0.277,0.134,0.033,1,0.36,0.193,0.091,0.098,0.085,0.294,33836,0.501,12.343,0.377,0.465,0.02,2500,0,0,5.704,17.3,-6.074,0.048,0.021,4954,-0.08,0.622,0.134,1.132,0.003,0.016,0.014,0.023,-1.07,0.443,0.001,0.302,0.109,0.526,-83.9226989746094,32.5219421386719
"900","Charlotte","NC",97400,0.195,0.169,0.044,1,0.227,0.223,0.098,0.078,0.12,0.241,41423,0.516,15.613,0.36,0.477,0.02,2701,1,0,5.674,17,-2.291,0.023,0.013,4790,-0.021,0.696,0.171,0.837,0.004,0.034,0.021,0.065,-0.484,0.496,0.004,0.219,0.088,0.563,-80.691764831543,35.0905609130859
"9001","Vidalia","GA",8554,0.387,0.132,0.048,0,0.26,0.08,0.01,0.01,0.009,0.391,26104,0.483,9.534,0.388,0.429,0.022,1837,0,0,5.256,16.3,-1.667,0.027,0.018,3684,0.016,0.559,0.194,1.159,0.003,0.006,0.009,0.033,-1.649,0.588,0.002,0.249,0.104,0.557,-82.6852188110352,32.0088043212891
"9002","Milledgeville","GA",6218,0.329,0.101,0.032,0,0.44,0.122,0.034,0.037,0.032,0.36,27862,0.442,7.55,0.367,0.448,0.025,2059,0,0,5.526,16.8,-6.814,0.013,0.036,3161,0.127,0.523,0.181,0.762,0.003,0.012,0.015,0.018,-1.909,0.277,0.002,0.333,0.104,0.505,-83.0629272460938,33.156005859375
"9003","Dublin","GA",6363,0.373,0.122,0.032,0,0.399,0.112,0.04,0.04,0.038,0.343,29575,0.529,13.755,0.392,0.442,0.021,1911,0,0,6.142,16.5,-2.796,0.031,0.027,16895,0.125,0.569,0.199,0.855,0.002,0.012,0.01,0.01,-1.15,0.501,0.004,0.318,0.105,0.517,-82.7807083129883,32.7125244140625
"9100","Atlanta","GA",206189,0.212,0.159,0.045,1,0.297,0.317,0.113,0.101,0.125,0.178,44162,0.568,17.257,0.395,0.439,0.028,2885,0,0,6.352,18.1,-7.863,0.026,0.01,6876,-0.046,0.709,0.104,0.61,0.004,0.03,0.023,0.109,-1.208,0.443,0.002,0.23,0.102,0.534,-84.2125625610352,33.8539428710938
"9301","Winder","GA",12765,0.248,0.14,0.038,1,0.18,0.166,0.089,0.104,0.074,0.323,30685,0.505,11.936,0.385,0.473,0.026,2155,0,0,5.547,16.9,-6.911,0.048,0.014,2574,0.352,0.664,0.146,1.646,0.003,0.034,0.028,0.056,-1.44,0.352,0.002,0.23,0.088,0.5,-83.3426895141602,33.9783325195312
"9302","Toccoa","GA",6502,0.292,0.133,0.042,0,0.174,0.088,0.012,0.013,0.011,0.407,29484,0.41,8.902,0.321,0.532,0.019,1785,0,0,5.148,15.5,0.165,0.029,0.022,8355,0.205,0.602,0.297,1.861,0.004,0.012,0.011,0.015,-1.002,0.63,0.001,0.215,0.096,0.588,-83.0066680908203,34.2676086425781
"9600","LaGrange","GA",36741,0.263,0.147,0.052,1,0.2,0.154,0.062,0.056,0.069,0.294,32720,0.458,11.202,0.346,0.519,0.017,1864,0,0,5.261,18.1,-7.685,0.012,0.015,2245,-0.051,0.621,0.23,1.774,0.003,0.027,0.019,0.021,-1.461,0.52,0.002,0.221,0.107,0.57,-85.4132308959961,33.5284309387207
